"municipiouf";"2013";"2015";"2017"
"Lençóis Paulista, SP";17;115;95
"Rio Claro, SP";48;149;95
"Três Corações, MG";62;106;95
"Araruama, RJ";109;121;94
"Arujá, SP";38;83;94
"Bragança Paulista, SP";63;128;94
"Marituba, PA";107;120;94
"Novo Repartimento, PA";45;77;94
"Primavera do Leste, MT";50;104;94
"Queimados, RJ";110;89;94
"Canaã dos Carajás, PA";NA;20;93
"Redenção, PA";42;30;93
"Sumaré, SP";139;115;93
"Nilópolis, RJ";74;89;92
"Cabedelo, PB";11;71;91
"Paranaguá, PR";54;87;91
"Santa Luzia, MA";31;69;91
"São Mateus, ES";37;76;91
"Trindade, GO";43;85;91
"Vespasiano, MG";21;77;91
"Caldas Novas, GO";28;66;90
"Capão da Canoa, RS";20;59;90
"Fazenda Rio Grande, PR";51;89;90
"Guanambi, BA";10;75;90
"Panelas, PE";6;52;90
"Moju, PA";19;69;89
"Rio Verde de Mato Grosso, MS";43;75;89
"Viçosa do Ceará, CE";27;32;89
"Balneário Camboriú, SC";65;80;88
"Candeias, BA";25;107;88
"Concórdia, SC";45;92;88
"Franca, SP";76;108;88
"Saquarema, RJ";59;133;88
"Teixeira de Freitas, BA";68;77;88
"Franco da Rocha, SP";33;54;87
"Lauro de Freitas, BA";50;80;87
"Taquarituba, SP";40;75;87
"Tianguá, CE";46;93;87
"Ubá, MG";44;90;87
"Carmópolis, SE";9;50;86
"Hortolândia, SP";93;107;86
"Presidente Kennedy, ES";24;75;86
"Primavera, PE";7;38;86
"Valença, BA";33;90;86
"Acopiara, CE";47;85;85
"Bagé, RS";47;74;85
"Estância, SE";33;39;85
"Itanhaém, SP";47;94;85
"Tabatinga, AM";25;101;85
"Telêmaco Borba, PR";37;83;85
"Cajamar, SP";54;71;84
"Formiga, MG";46;58;84
"Nova Friburgo, RJ";42;64;84
"Olímpia, SP";57;71;84
"Araguari, MG";22;77;83
"Barreirinhas, MA";24;63;83
"Francisco Morato, SP";5;47;83
"Itabaiana, SE";31;103;83
"Itaperuna, RJ";28;157;83
"Palmeira dos Índios, AL";NA;22;83
"Rolândia, PR";46;80;83
"São Francisco do Sul, SC";51;85;83
"São João da Barra, RJ";190;133;83
"Umuarama, PR";35;91;83
"Afonso Cláudio, ES";31;51;82
"Belo Jardim, PE";39;59;82
"Correntes, PE";8;47;82
"Goiana, PE";28;77;82
"Jaguaquara, BA";33;54;82
"Mogi Guaçu, SP";60;81;82
"Santa Cruz do Sul, RS";43;66;82
"São Lourenço da Mata, PE";49;99;82
"Assis, SP";42;63;81
"Bezerros, PE";28;80;81
"Matão, SP";12;44;81
"Patos, PB";56;106;81
"Tefé, AM";19;69;81
"Viamão, RS";41;73;81
"Capitão Poço, PA";47;75;80
"Itapecuru Mirim, MA";74;85;80
"Itapira, SP";26;90;80
"Pirapora, MG";29;58;80
"Acará, PA";50;84;79
"Almirante Tamandaré, PR";30;92;79
"Araripina, PE";68;115;79
"Canindé, CE";57;116;79
"Coari, AM";24;125;79
"Eunápolis, BA";76;123;79
"Ibiporã, PR";23;62;79
"Itiúba, BA";16;49;79
"Parambu, CE";43;61;79
"Porto de Moz, PA";24;39;79
"São João de Meriti, RJ";55;95;79
"São José de Ribamar, MA";4;56;79
"Teodoro Sampaio, SP";5;68;79
"Valparaíso de Goiás, GO";30;91;79
"Apiaí, SP";20;22;78
"Brejo Santo, CE";54;54;78
"Exu, PE";20;65;78
"Indaiatuba, SP";32;58;78
"Ipojuca, PE";58;86;78
"Ipueiras, CE";22;36;78
"Monte Alto, SP";17;66;78
"Oriximiná, PA";43;56;78
"Paranavaí, PR";54;69;78
"Alenquer, PA";21;55;77
"Barretos, SP";56;89;77
"Benevides, PA";70;97;77
"Cametá, PA";58;109;77
"Capelinha, MG";21;77;77
"Caririaçu, CE";24;48;77
"Cotia, SP";59;95;77
"Gurupi, TO";22;78;77
"Limoeiro, PE";NA;146;77
"Quissamã, RJ";148;91;77
"Jacobina, BA";66;53;76
"São Luís de Montes Belos, GO";9;56;76
"Campo Alegre, AL";20;48;75
"Morrinhos, GO";18;64;75
"Santana do Acaraú, CE";88;83;75
"Tomé-Açu, PA";NA;25;75
"Amarante do Maranhão, MA";12;38;74
"Barra dos Coqueiros, SE";NA;12;74
"Biguaçu, SC";28;68;74
"Crato, CE";87;128;74
"Guaíba, RS";38;68;74
"Ibirité, MG";24;57;74
"Itaberaí, GO";10;61;74
"Ituverava, SP";21;54;74
"Ivaiporã, PR";17;69;74
"Janaúba, MG";67;86;74
"Jijoca de Jericoacoara, CE";7;41;74
"Planaltina, GO";23;101;74
"São Fidélis, RJ";33;120;74
"São Francisco do Conde, BA";27;53;74
"São Francisco, MG";61;60;74
"Simão Dias, SE";18;36;74
"Alegrete, RS";37;58;73
"Bento Gonçalves, RS";115;100;73
"Catanduva, SP";32;49;73
"Frutal, MG";9;62;73
"Ipatinga, MG";55;81;73
"Laranjeiras, SE";43;55;73
"Ouro Preto, MG";77;87;73
"Paço do Lumiar, MA";15;60;73
"Santana do Araguaia, PA";25;46;73
"Conselheiro Lafaiete, MG";26;80;72
"Jandira, SP";24;54;72
"Jaú, SP";28;74;72
"Leopoldina, MG";29;62;72
"Passos, MG";30;50;72
"Santa Helena, MA";32;31;72
"São Sebastião da Boa Vista, PA";41;56;72
"Seropédica, RJ";16;50;72
"Serrinha, BA";39;96;72
"Tailândia, PA";35;60;72
"Astorga, PR";28;42;71
"Barra Mansa, RJ";77;103;71
"Canoinhas, SC";44;67;71
"Itapetinga, BA";26;47;71
"Mineiros, GO";31;104;71
"Satubinha, MA";9;53;71
"Sorriso, MT";26;29;71
"Barra do Garças, MT";34;94;70
"Barreiras, BA";69;150;70
"Beberibe, CE";24;67;70
"Caarapó, MS";25;55;70
"Goiatuba, GO";17;82;70
"Grajaú, MA";39;52;70
"Osvaldo Cruz, SP";12;15;70
"Patos de Minas, MG";70;97;70
"Sidrolândia, MS";39;58;70
"União dos Palmares, AL";NA;NA;70
"Valença, RJ";49;91;70
"Aquidauana, MS";39;92;69
"Capão Bonito, SP";23;90;69
"Congonhas, MG";14;63;69
"Itupiranga, PA";26;44;69
"Jaguaribe, CE";16;33;69
"Nova Andradina, MS";16;70;69
"Patrocínio, MG";57;68;69
"São Bento do Sul, SC";39;64;69
"Sapé, PB";17;53;69
"Xanxerê, SC";28;75;69
"Caetité, BA";53;42;68
"Carnaubeira da Penha, PE";2;26;68
"Fernandópolis, SP";36;60;68
"Lagarto, SE";47;61;68
"Manacapuru, AM";31;80;68
"Presidente Tancredo Neves, BA";11;47;68
"São Gonçalo do Amarante, RN";29;70;68
"Três Pontas, MG";20;50;68
"Bayeux, PB";45;81;67
"Criciúma, SC";138;195;67
"Curaçá, BA";25;53;67
"Igarapé-Miri, PA";NA;5;67
"Pato Branco, PR";59;71;67
"Sant'Ana do Livramento, RS";NA;NA;67
"Santa Rosa, RS";25;70;67
"São Cristóvão, SE";29;68;67
"Tijucas do Sul, PR";9;35;67
"Três Rios, RJ";47;71;67
"Tucano, BA";25;85;67
"Umbaúba, SE";25;50;67
"Baixo Guandu, ES";10;39;66
"Catende, PE";28;62;66
"Japaratuba, SE";22;43;66
"Montanha, ES";35;51;66
"Nova Mutum, MT";26;56;66
"Ourinhos, SP";62;69;66
"Pacatuba, CE";35;60;66
"Portel, PA";27;59;66
"Saúde, BA";7;31;66
"Abreu e Lima, PE";6;66;65
"Andradina, SP";30;64;65
"Assaré, CE";29;41;65
"Gravatá, PE";18;39;65
"Icatu, MA";11;44;65
"João Lisboa, MA";20;26;65
"Matinhos, PR";26;79;65
"Remanso, BA";42;35;65
"Tauá, CE";54;73;65
"Barbacena, MG";47;54;64
"Batayporã, MS";19;61;64
"Canindé de São Francisco, SE";5;16;64
"Coreaú, CE";73;90;64
"Dom Pedrito, RS";30;56;64
"Itapecerica da Serra, SP";98;80;64
"Jaguariaíva, PR";28;60;64
"Pirajuí, SP";27;36;64
"Russas, CE";23;62;64
"Almenara, MG";33;52;63
"Arroio dos Ratos, RS";NA;14;63
"Bertioga, SP";34;92;63
"Conceição do Araguaia, PA";31;61;63
"Coroatá, MA";42;78;63
"Eusébio, CE";37;47;63
"Granja, CE";44;58;63
"Itabira, MG";23;79;63
"Juína, MT";46;57;63
"Massapê, CE";24;90;63
"Nova Olinda do Norte, AM";24;44;63
"Pará de Minas, MG";13;87;63
"Parintins, AM";53;81;63
"São Caitano, PE";39;94;63
"Suzano, SP";44;62;63
"Tubarão, SC";49;86;63
"Capanema, PA";69;66;62
"Caratinga, MG";48;38;62
"Cruzeiro do Sul, AC";12;70;62
"Curvelo, MG";46;71;62
"Guaratuba, PR";15;58;62
"Lagoa Santa, MG";12;52;62
"Mombaça, CE";21;47;62
"Nanuque, MG";26;95;62
"Porto Feliz, SP";20;44;62
"Santa Fé do Sul, SP";NA;12;62
"Santana do Paraíso, MG";2;11;62
"Taquaritinga do Norte, PE";20;33;62
"Almeirim, PA";25;36;61
"Apucarana, PR";44;87;61
"Cajazeiras, PB";19;26;61
"Chapadinha, MA";34;62;61
"Gurupá, PA";31;55;61
"Japeri, RJ";38;96;61
"Juruti, PA";29;39;61
"Maraã, AM";38;57;61
"Quixadá, CE";39;69;61
"Ruy Barbosa, BA";20;62;61
"Santa Helena, PR";17;35;61
"São Domingos do Maranhão, MA";12;29;61
"São Miguel do Guamá, PA";40;108;61
"Sinop, MT";55;60;61
"Agudos, SP";8;64;60
"Borebi, SP";6;54;60
"Cascavel, CE";59;48;60
"Colinas, MA";17;54;60
"Francisco Beltrão, PR";32;75;60
"Jaguarari, BA";44;77;60
"Jaqueira, PE";16;45;60
"Luziânia, GO";36;79;60
"Mairiporã, SP";22;60;60
"Moji Mirim, SP";NA;NA;60
"Pedreiras, MA";17;41;60
"Pindobaçu, BA";7;26;60
"Poções, BA";24;68;60
"Rondon do Pará, PA";33;33;60
"São Sebastião, SP";13;30;60
"Tapauá, AM";5;39;60
"Unaí, MG";40;53;60
"Videira, SC";8;43;60
"Araci, BA";15;56;59
"Cáceres, MT";60;92;59
"Cachoeira do Sul, RS";47;64;59
"Campo Mourão, PR";42;68;59
"Itapemirim, ES";42;51;59
"Jaíba, MG";6;14;59
"Mendes, RJ";63;70;59
"Óbidos, PA";70;141;59
"Pitanga, PR";18;49;59
"Rio Branco do Sul, PR";42;64;59
"Santa Maria de Jetibá, ES";39;97;59
"Timbaúba, PE";9;40;59
"Andirá, PR";13;56;58
"Assis Chateaubriand, PR";9;45;58
"Balsas, MA";43;85;58
"Brasília de Minas, MG";21;53;58
"Jardinópolis, SP";24;51;58
"Missão Velha, CE";33;95;58
"Pedra Branca, CE";18;66;58
"Piraju, SP";29;57;58
"Rio Brilhante, MS";20;41;58
"Sabará, MG";28;75;58
"Santa Quitéria, CE";37;45;58
"São Borja, RS";61;81;58
"Anchieta, ES";133;184;57
"Aracoiaba, CE";14;41;57
"Campo Belo, MG";32;50;57
"Encruzilhada, BA";50;60;57
"Itaberaba, BA";41;50;57
"Moreno, PE";13;20;57
"Oliveira, MG";32;52;57
"Palmares, PE";32;58;57
"Pedro Canário, ES";24;44;57
"Piritiba, BA";6;46;57
"Porto Franco, MA";18;32;57
"Ribas do Rio Pardo, MS";21;35;57
"São João do Rio do Peixe, PB";9;61;57
"São José de Mipibu, RN";14;34;57
"Silva Jardim, RJ";13;51;57
"Apodi, RN";18;62;56
"Bom Jesus do Itabapoana, RJ";33;40;56
"Indaial, SC";24;65;56
"Itambé, BA";57;61;56
"Joaçaba, SC";36;51;56
"Marataízes, ES";33;46;56
"Martinópolis, SP";17;35;56
"Mongaguá, SP";39;42;56
"Monte Carmelo, MG";39;39;56
"Ponta Porã, MS";91;130;56
"Ribeirão Pires, SP";23;59;56
"Rubiataba, GO";15;45;56
"Salinas, MG";30;29;56
"Santa Cruz do Capibaribe, PE";21;32;56
"Santa Luzia do Paruá, MA";17;30;56
"São Miguel do Oeste, SC";35;51;56
"Sapiranga, RS";17;40;56
"Viana, MA";9;26;56
"Xaxim, SC";23;47;56
"Armação dos Búzios, RJ";NA;11;55
"Augusto Corrêa, PA";47;53;55
"Carapebus, RJ";27;40;55
"Fátima do Sul, MS";8;44;55
"Guapimirim, RJ";56;65;55
"Itararé, SP";52;68;55
"Jaguaré, ES";27;72;55
"Jeremoabo, BA";6;88;55
"Mauriti, CE";22;58;55
"Monte Santo, BA";18;55;55
"Pilar, AL";17;40;55
"São João da Boa Vista, SP";11;36;55
"São João del Rei, MG";NA;26;55
"Vinhedo, SP";21;63;55
"Atibaia, SP";22;46;54
"Frei Paulo, SE";50;68;54
"Ituberá, BA";4;36;54
"Laranjal do Jari, AP";16;41;54
"Maracaju, MS";18;59;54
"Marechal Cândido Rondon, PR";14;40;54
"Orós, CE";23;51;54
"Ouricuri, PE";11;77;54
"Bodocó, PE";17;57;53
"Cabrobó, PE";44;70;53
"Campo Bom, RS";32;50;53
"Itatiba, SP";33;51;53
"Itaúna, MG";17;36;53
"Morada Nova, CE";26;33;53
"Nova Venécia, ES";38;58;53
"Pacajus, CE";38;39;53
"Parnarama, MA";28;88;53
"Porteirinha, MG";26;43;53
"Riacho de Santana, BA";12;28;53
"Santa Vitória, MG";6;25;53
"São Gonçalo do Amarante, CE";20;25;53
"Teotônio Vilela, AL";41;51;53
"Teresópolis, RJ";49;51;53
"Tuntum, MA";23;40;53
"Valinhos, SP";19;46;53
"Vargem Grande, MA";32;59;53
"Viana, ES";57;84;53
"Bebedouro, SP";15;47;52
"Buritis, MG";25;51;52
"Conceição das Alagoas, MG";NA;NA;52
"Craíbas, AL";13;28;52
"Ibaiti, PR";10;68;52
"Itupeva, SP";7;49;52
"Matriz de Camaragibe, AL";8;40;52
"Miranda do Norte, MA";10;37;52
"Nossa Senhora da Glória, SE";20;42;52
"Palmas, PR";32;30;52
"Penedo, AL";19;33;52
"Rio Real, BA";70;63;52
"Salitre, CE";30;49;52
"Santa Rita do Sapucaí, MG";21;45;52
"São Desidério, BA";23;44;52
"São Lourenço, MG";13;39;52
"Selvíria, MS";15;48;52
"Taquaritinga, SP";12;41;52
"Tarauacá, AC";12;42;52
"Tatuí, SP";46;54;52
"Zé Doca, MA";NA;NA;52
"Barbalha, CE";50;54;51
"Brejo, MA";17;64;51
"Cataguases, MG";44;60;51
"Chapadão do Sul, MS";21;44;51
"Conceição da Barra, ES";21;57;51
"Itatiaia, RJ";39;47;51
"Juatuba, MG";3;39;51
"Limoeiro do Norte, CE";18;26;51
"Paraty, RJ";NA;11;51
"Piripiri, PI";31;86;51
"Porangatu, GO";39;70;51
"Rio do Sul, SC";21;54;51
"Trairi, CE";15;49;51
"Várzea da Palma, MG";21;46;51
"Vitorino Freire, MA";21;34;51
"Açu, RN";21;60;50
"Agrestina, PE";4;34;50
"Alagoinhas, BA";14;18;50
"Alvarães, AM";35;34;50
"Antônio Gonçalves, BA";8;38;50
"Caeté, MG";45;56;50
"Campo Verde, MT";12;45;50
"Canguaretama, RN";8;47;50
"Castro Alves, BA";5;51;50
"Cianorte, PR";19;40;50
"Cubatão, SP";22;74;50
"Dom Eliseu, PA";55;70;50
"Guamaré, RN";20;47;50
"Inhumas, GO";10;12;50
"Jacupiranga, SP";30;46;50
"Lagoa Grande, PE";11;37;50
"Manhuaçu, MG";19;35;50
"Matões, MA";10;46;50
"Maués, AM";28;48;50
"Naviraí, MS";28;39;50
"Paranaíba, MS";27;54;50
"Picuí, PB";8;20;50
"São José da Tapera, AL";23;41;50
"Senador Canedo, GO";48;106;50
"Tabuleiro do Norte, CE";22;31;50
"Tutóia, MA";14;59;50
"Xique-Xique, BA";NA;NA;50
"Águas Lindas de Goiás, GO";34;43;49
"Amontada, CE";20;34;49
"Cajati, SP";29;35;49
"Ceará-Mirim, RN";NA;NA;49
"Estreito, MA";6;31;49
"Guarabira, PB";4;27;49
"Itajubá, MG";13;57;49
"Jaboticabal, SP";24;48;49
"Mãe do Rio, PA";15;50;49
"Meruoca, CE";17;18;49
"Pedro II, PI";NA;NA;49
"Pinheiros, ES";40;52;49
"Santiago, RS";43;58;49
"São Caetano do Sul, SP";41;57;49
"Umbuzeiro, PB";7;18;49
"Venda Nova do Imigrante, ES";14;56;49
"Altos, PI";29;46;48
"Boituva, SP";36;50;48
"Bom Lugar, MA";5;30;48
"Coração de Jesus, MG";28;35;48
"Diamantina, MG";30;32;48
"Esmeraldas, MG";28;50;48
"Euclides da Cunha, BA";30;75;48
"Guaçuí, ES";33;40;48
"Itapetim, PE";6;43;48
"Ladário, MS";44;58;48
"Nova Esperança, PR";22;40;48
"Rio Bonito, RJ";48;85;48
"Sacramento, MG";43;27;48
"Santo Amaro, BA";24;52;48
"São Bento, MA";30;58;48
"São João do Piauí, PI";14;34;48
"Trindade, PE";1;28;48
"Tucumã, PA";25;42;48
"Venturosa, PE";12;61;48
"Aral Moreira, MS";21;33;47
"Barras, PI";37;91;47
"Barroquinha, CE";11;46;47
"Bela Cruz, CE";14;28;47
"Caraúbas, RN";27;47;47
"Coruripe, AL";13;37;47
"Fonte Boa, AM";10;32;47
"Ipu, CE";31;38;47
"Itapema, SC";25;50;47
"Itarema, CE";34;99;47
"Januária, MG";55;30;47
"Jucás, CE";19;39;47
"Lago da Pedra, MA";23;54;47
"Lavras da Mangabeira, CE";39;44;47
"Macaíba, RN";10;32;47
"Ocara, CE";20;41;47
"Pombal, PB";21;61;47
"Porteiras, CE";27;30;47
"Porto Murtinho, MS";18;37;47
"Rio Negro, PR";12;41;47
"Santa Teresa, ES";23;43;47
"São Francisco de Paula, RS";17;42;47
"São Luís do Quitunde, AL";8;25;47
"São Roque, SP";21;42;47
"Taiobeiras, MG";29;45;47
"Tupã, SP";19;41;47
"Viseu, PA";18;43;47
"Brotas, SP";9;47;46
"Caçapava, SP";10;51;46
"Camaragibe, PE";14;34;46
"Carazinho, RS";28;44;46
"Ijuí, RS";42;52;46
"Inhapim, MG";19;45;46
"Magalhães de Almeida, MA";5;47;46
"Nazaré da Mata, PE";2;6;46
"Novo Oriente, CE";32;37;46
"Paiçandu, PR";9;57;46
"Paracuru, CE";33;35;46
"Pinhão, PR";19;63;46
"Presidente Dutra, MA";21;31;46
"Santa Isabel do Pará, PA";47;53;46
"São Félix do Araguaia, MT";14;44;46
"São Vicente Ferrer, MA";5;35;46
"Aurora do Pará, PA";37;40;45
"Barcelos, AM";48;45;45
"Benjamin Constant, AM";14;67;45
"Bom Jesus, PI";9;55;45
"Borda da Mata, MG";5;49;45
"Cachoeira, BA";18;46;45
"Colinas do Tocantins, TO";29;65;45
"Custódia, PE";18;24;45
"Eldorado dos Carajás, PA";NA;NA;45
"Espinosa, MG";17;68;45
"Gaspar, SC";13;47;45
"Goianinha, RN";13;48;45
"Ipirá, BA";9;34;45
"Itaquiraí, MS";35;48;45
"João Monlevade, MG";45;48;45
"Juquiá, SP";32;41;45
"Lábrea, AM";14;21;45
